name,mos,class
p01_geocnn_r01.ply,1.079650616,human
p01_geocnn_r02.ply,1.057185451,human
p01_geocnn_r03.ply,3.759313116,human
p01_geocnn_r04.ply,3.754941272,human
p01_gpcc-octree-predlift_r02.ply,2.10577713,human
p01_gpcc-octree-predlift_r03.ply,3.361438653,human
p01_gpcc-octree-predlift_r04.ply,3.764877812,human
p01_gpcc-octree-predlift_r05.ply,4.253538797,human
p01_gpcc-octree-predlift_r06.ply,4.267853103,human
p01_gpcc-octree-raht_r02.ply,1.640837245,human
p01_gpcc-octree-raht_r03.ply,3.127493275,human
p01_gpcc-octree-raht_r04.ply,3.848859276,human
p01_gpcc-octree-raht_r05.ply,4.600221832,human
p01_gpcc-octree-raht_r06.ply,4.541709218,human
p01_vpcc_r00.ply,2.106820791,human
p01_vpcc_r01.ply,2.789528824,human
p01_vpcc_r02.ply,3.054361367,human
p01_vpcc_r03.ply,3.138312381,human
p01_vpcc_r04.ply,3.388373001,human
p01_vpcc_r05.ply,3.945140631,human
p02_geocnn_r01.ply,1.965844382,human
p02_geocnn_r02.ply,3.211647192,human
p02_geocnn_r03.ply,3.26541245,human
p02_geocnn_r04.ply,3.419199486,human
p02_gpcc-octree-predlift_r02.ply,1.362266575,human
p02_gpcc-octree-predlift_r03.ply,2.345566281,human
p02_gpcc-octree-predlift_r04.ply,3.970275047,human
p02_gpcc-octree-predlift_r05.ply,4.230449152,human
p02_gpcc-octree-predlift_r06.ply,4.469620757,human
p02_gpcc-octree-raht_r02.ply,1.217866914,human
p02_gpcc-octree-raht_r03.ply,2.015791978,human
p02_gpcc-octree-raht_r04.ply,3.488314819,human
p02_gpcc-octree-raht_r05.ply,4.093309243,human
p02_gpcc-octree-raht_r06.ply,4.331084171,human
p02_vpcc_r00.ply,1.609645248,human
p02_vpcc_r01.ply,2.167550799,human
p02_vpcc_r02.ply,3.093927394,human
p02_vpcc_r03.ply,3.487489458,human
p02_vpcc_r04.ply,3.485205725,human
p02_vpcc_r05.ply,3.974665036,human
p03_geocnn_r01.ply,2.494971006,human
p03_geocnn_r02.ply,2.984772688,human
p03_geocnn_r03.ply,3.648791077,human
p03_geocnn_r04.ply,3.372937088,human
p03_gpcc-octree-predlift_r02.ply,1.441520894,human
p03_gpcc-octree-predlift_r03.ply,3.070750499,human
p03_gpcc-octree-predlift_r04.ply,4.072438741,human
p03_gpcc-octree-predlift_r05.ply,3.990986114,human
p03_gpcc-octree-predlift_r06.ply,4.314907765,human
p03_gpcc-octree-raht_r02.ply,1.489301506,human
p03_gpcc-octree-raht_r03.ply,2.917084131,human
p03_gpcc-octree-raht_r04.ply,3.835404797,human
p03_gpcc-octree-raht_r05.ply,4.295872353,human
p03_gpcc-octree-raht_r06.ply,4.510437144,human
p03_vpcc_r00.ply,2.119991233,human
p03_vpcc_r01.ply,2.941540814,human
p03_vpcc_r02.ply,2.947343613,human
p03_vpcc_r03.ply,3.552730908,human
p03_vpcc_r04.ply,3.572730463,human
p03_vpcc_r05.ply,3.798203654,human
p04_geocnn_r01.ply,4.251724154,human
p04_geocnn_r02.ply,4.280860612,human
p04_geocnn_r03.ply,4.573453185,human
p04_geocnn_r04.ply,4.198448997,human
p04_gpcc-octree-predlift_r02.ply,1.654943262,human
p04_gpcc-octree-predlift_r03.ply,3.560143642,human
p04_gpcc-octree-predlift_r04.ply,3.943337515,human
p04_gpcc-octree-predlift_r05.ply,4.493860503,human
p04_gpcc-octree-predlift_r06.ply,4.605964249,human
p04_gpcc-octree-raht_r02.ply,1.246800485,human
p04_gpcc-octree-raht_r03.ply,3.218501963,human
p04_gpcc-octree-raht_r04.ply,4.137873656,human
p04_gpcc-octree-raht_r05.ply,4.570503837,human
p04_gpcc-octree-raht_r06.ply,4.42170779,human
p04_vpcc_r00.ply,1.78564099,human
p04_vpcc_r01.ply,2.575352327,human
p04_vpcc_r02.ply,3.782959251,human
p04_vpcc_r03.ply,4.252626171,human
p04_vpcc_r04.ply,4.654528969,human
p04_vpcc_r05.ply,4.752876209,human
p05_geocnn_r01.ply,1.824295578,human
p05_geocnn_r02.ply,2.699776641,human
p05_geocnn_r03.ply,3.286476199,human
p05_geocnn_r04.ply,3.000590654,human
p05_gpcc-octree-predlift_r02.ply,1.468168702,human
p05_gpcc-octree-predlift_r03.ply,2.936357398,human
p05_gpcc-octree-predlift_r04.ply,3.526917089,human
p05_gpcc-octree-predlift_r05.ply,3.941627292,human
p05_gpcc-octree-predlift_r06.ply,4.185825236,human
p05_gpcc-octree-raht_r02.ply,1.337513808,human
p05_gpcc-octree-raht_r03.ply,2.537219445,human
p05_gpcc-octree-raht_r04.ply,3.32377992,human
p05_gpcc-octree-raht_r05.ply,3.965411157,human
p05_gpcc-octree-raht_r06.ply,4.229402555,human
p05_vpcc_r00.ply,1.941959996,human
p05_vpcc_r01.ply,2.62508473,human
p05_vpcc_r02.ply,2.907098425,human
p05_vpcc_r03.ply,3.379222859,human
p05_vpcc_r04.ply,3.39391684,human
p05_vpcc_r05.ply,3.703262717,human
p06_geocnn_r01.ply,2.384325762,human
p06_geocnn_r02.ply,3.879698817,human
p06_geocnn_r03.ply,4.097189166,human
p06_geocnn_r04.ply,4.376373477,human
p06_gpcc-octree-predlift_r02.ply,1.712150219,human
p06_gpcc-octree-predlift_r03.ply,2.852359723,human
p06_gpcc-octree-predlift_r04.ply,3.725223464,human
p06_gpcc-octree-predlift_r05.ply,4.24186257,human
p06_gpcc-octree-predlift_r06.ply,4.480804488,human
p06_gpcc-octree-raht_r02.ply,1.749148663,human
p06_gpcc-octree-raht_r03.ply,2.430517939,human
p06_gpcc-octree-raht_r04.ply,3.37367289,human
p06_gpcc-octree-raht_r05.ply,3.917336336,human
p06_gpcc-octree-raht_r06.ply,4.287034287,human
p06_vpcc_r00.ply,2.348410981,human
p06_vpcc_r01.ply,2.745768291,human
p06_vpcc_r02.ply,3.084227714,human
p06_vpcc_r03.ply,3.214316529,human
p06_vpcc_r04.ply,3.646175581,human
p06_vpcc_r05.ply,3.98734891,human
p07_geocnn_r01.ply,2.690543988,human
p07_geocnn_r02.ply,3.239723119,human
p07_geocnn_r03.ply,4.100585412,human
p07_geocnn_r04.ply,4.062528369,human
p07_gpcc-octree-predlift_r02.ply,1.401941613,human
