name,partner_1,partner_2,partner_3,partner_4,partner_5,partner_6,partner_7,partner_8,partner_9,partner_10,partner_11,partner_12,partner_13,partner_14,partner_15,partner_16
PjanicFace_MeanShift_1.ply,4.5,5.0,4.0,5.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
BirdV3_MultiplicativeGaussianNoise_3.ply,3.5,3.0,2.5,3.0,3.0,3.5,4.0,4.0,3.5,3.0,3.0,3.0,3.0,3.5,3.0,3.0
Caffe_CorrelatedGaussianNoise_3.ply,3.5,3.0,2.5,3.5,4.5,4.0,4.0,4.0,3.5,3.5,4.0,3.5,3.5,3.5,3.5,3.5
SeaTurtle_C2AI-lossy-geom-lossless-attrs_1.ply,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,4.0,5.0,5.0,5.0,4.5
soldier_LumaNoise_5.ply,3.5,3.0,4.0,2.5,3.0,3.0,4.0,3.5,3.0,3.0,2.5,3.5,3.0,3.0,3.5,3.0
Facade00064_RayleighNoise_4.ply,2.5,2.5,3.0,1.5,3.0,3.0,3.0,3.5,3.0,3.0,2.0,2.5,3.0,2.5,2.5,3.0
FishV1_SaltpepperNoise_1.ply,4.0,3.0,2.5,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.5,4.0,4.0,4.0
Statue_HighFrequencyNoise_5.ply,3.5,3.0,2.5,3.0,4.0,3.5,4.0,4.0,3.5,3.0,3.0,3.5,3.5,3.5,3.0,3.5
Statue_PoissonNoise_5.ply,3.0,3.0,4.5,2.5,4.0,4.0,4.0,4.0,3.5,3.0,3.5,4.0,3.5,4.0,3.5,4.0
lowpolycarsset1_UniformShifting_4.ply,2.5,2.5,2.0,2.0,3.0,3.0,3.0,3.5,3.0,3.0,2.0,3.0,3.0,3.5,2.5,2.5
Facade00064_GaussianNoise_5.ply,1.5,2.0,1.5,1.5,2.0,3.0,2.0,3.5,2.5,2.5,1.5,1.0,1.5,2.5,1.5,2.0
