name,mos,class
hhi_0.ply,9.516666667,human
hhi_1.ply,7.7109375,human
hhi_10.ply,4.808333333,human
hhi_11.ply,5.021153846,human
hhi_12.ply,8.741666667,human
hhi_13.ply,6.534615385,human
hhi_14.ply,7.015625,human
hhi_15.ply,4.9296875,human
hhi_16.ply,4.056122449,human
hhi_17.ply,1.785714286,human
hhi_18.ply,8.238461538,human
hhi_19.ply,7.399234694,human
hhi_2.ply,8.9453125,human
hhi_20.ply,5.016666667,human
hhi_21.ply,4.308333333,human
hhi_22.ply,2.4453125,human
hhi_23.ply,1.905769231,human
hhi_24.ply,7.680769231,human
hhi_25.ply,6.366666667,human
hhi_26.ply,4.5625,human
hhi_27.ply,2.208333333,human
hhi_28.ply,1.540384615,human
hhi_29.ply,1,human
hhi_3.ply,7.371153846,human
hhi_30.ply,9.464285714,human
hhi_31.ply,8.3125,human
hhi_32.ply,6.836734694,human
hhi_33.ply,3.475,human
hhi_34.ply,1.867307692,human
hhi_35.ply,1.1953125,human
hhi_36.ply,8.219230769,human
hhi_37.ply,5.842307692,human
hhi_38.ply,4.920918367,human
hhi_39.ply,2.4921875,human
hhi_4.ply,4.183333333,human
hhi_40.ply,2.083333333,human
hhi_41.ply,1.5,human
hhi_5.ply,1.953125,human
hhi_6.ply,9.796875,human
hhi_7.ply,6.776923077,human
hhi_8.ply,6.107692308,human
hhi_9.ply,6.140625,human
longdress_0.ply,8.50127551,human
longdress_1.ply,6.159615385,human
longdress_10.ply,4.90625,human
longdress_11.ply,4.091666667,human
longdress_12.ply,8.161538462,human
longdress_13.ply,8.381377551,human
longdress_14.ply,7.744897959,human
longdress_15.ply,5.7578125,human
longdress_16.ply,4.421875,human
longdress_17.ply,2.126923077,human
longdress_18.ply,9.171875,human
longdress_19.ply,6.783333333,human
longdress_2.ply,6.3046875,human
longdress_20.ply,5.849489796,human
longdress_21.ply,4.136538462,human
longdress_22.ply,3.62372449,human
longdress_23.ply,1.790384615,human
longdress_24.ply,7.833333333,human
longdress_25.ply,6.640384615,human
longdress_26.ply,5.166666667,human
longdress_27.ply,3.191666667,human
longdress_28.ply,1.4453125,human
longdress_29.ply,1.075,human
longdress_3.ply,5.5078125,human
longdress_30.ply,7.358333333,human
longdress_31.ply,6.985969388,human
longdress_32.ply,4.55,human
longdress_33.ply,2.515625,human
longdress_34.ply,1.987244898,human
longdress_35.ply,1.448979592,human
longdress_36.ply,8.325,human
longdress_37.ply,6.008333333,human
longdress_38.ply,4.825,human
longdress_39.ply,2.330769231,human
longdress_4.ply,7.117346939,human
longdress_40.ply,1.783333333,human
longdress_41.ply,1.433333333,human
longdress_5.ply,3.40625,human
longdress_6.ply,9.682692308,human
longdress_7.ply,7.526923077,human
longdress_8.ply,6.709615385,human
longdress_9.ply,4.927295918,human
loot_0.ply,6.996153846,human
loot_1.ply,7.0859375,human
loot_10.ply,4.230867347,human
loot_11.ply,4.0625,human
loot_12.ply,8.267307692,human
loot_13.ply,8.613520408,human
loot_14.ply,7.676020408,human
loot_15.ply,5.78125,human
loot_16.ply,2.975,human
loot_17.ply,1.85,human
loot_18.ply,8.180769231,human
loot_19.ply,6.925,human
loot_2.ply,5.383333333,human
loot_20.ply,4.8,human
loot_21.ply,4.299744898,human
loot_22.ply,2.283333333,human
loot_23.ply,1.223076923,human
loot_24.ply,7.190384615,human
loot_25.ply,7.28125,human
loot_26.ply,4.166666667,human
loot_27.ply,2.376923077,human
loot_28.ply,1.703846154,human
loot_29.ply,1,human
loot_3.ply,5.208333333,human
loot_30.ply,7.341666667,human
loot_31.ply,7.765306122,human
loot_32.ply,4.775,human
loot_33.ply,2.825,human
loot_34.ply,2.492346939,human
loot_35.ply,1.223076923,human
loot_36.ply,8.344230769,human
loot_37.ply,6.7,human
loot_38.ply,4.25,human
loot_39.ply,2.758333333,human
loot_4.ply,6.679846939,human
loot_40.ply,1.934615385,human
loot_41.ply,1.2,human
loot_5.ply,2.708333333,human
loot_6.ply,9.65,human
loot_7.ply,7.316666667,human
loot_8.ply,5.396683673,human
loot_9.ply,4.584615385,human
redandblack_0.ply,8.167091837,human
redandblack_1.ply,6.45,human
redandblack_10.ply,5.515625,human
redandblack_11.ply,4.780769231,human
redandblack_12.ply,7.767307692,human
redandblack_13.ply,6.803846154,human
redandblack_14.ply,6.65,human
redandblack_15.ply,5.1640625,human
redandblack_16.ply,3.709615385,human
redandblack_17.ply,2.141666667,human
redandblack_18.ply,8.191666667,human
redandblack_19.ply,6.85,human
redandblack_2.ply,6.734375,human
redandblack_20.ply,6.144132653,human
redandblack_21.ply,4.6484375,human
